Rank,Name Song,Artist,Peak Rank,Previous Rank,Weeks On Chart,Streaming,Uri,Lyrics
1,Like Crazy,Jimin,1,2,56,"2,116,360",https://open.spotify.com/track/3Ua0m0YmEjrMi9XErKcNiR,"She's saying, Baby, come and follow me There's not a bad thing here tonight Save your reasons all for later Stay with me a little while Watch me go Now, I sink down, all alone away Where am i. A dark haze clouding up my eyes I can hear the voices listening Don't know who they are trying to take the pressure off been reaching for the stars Tell me, will I find myself again When I go too far Yeah, I know, You know, I know  I'd rather be lost in the lights, lost in the lights I'm outta my mind Can you help me numb the pain Each night, you spin me up high emotions on ice Let me have a taste Give me a good ride  it's gon' be a good night Forever, you and I All my reflections, I can't even recognize I'm feelin' so alive, wasting time I'd rather be lost in the lights I'm outta my mind Can you help me numb the pain Each night, you spin me up high emotions on ice Let me have a taste Give me a good ride It's gon' be a good night Forever, you and I This will break me This is gonna break me This is gonna break me I wanna stay in this dream, don't save me Don't you try to save me I need a way we can dream on"
2,Standing Next to You,Jung Kook,1,3,7,"2,036,630",https://open.spotify.com/track/2KslE17cAJNHTsI2MI0jb2,"Standing next to you Play me slow I push up on this funk and give me miracles Make it known How we left and right is something we control You know that all night long we rock to this Screaming, I testify this lovin' All night long we flock to this Screaming, I testify that we'll survive the test of time They can't deny our love They can't divide us, we'll survive the test of time I promise I'll be right here Standing next to you Standing in the fire next to you, oh You know it's deeper than the rain It's deeper than the pain When it's deep like DNA Something they can't take away, ayy Take-take-take-take-take-take off Standing next to you Standing next to you Standing next to you Afterglow Leave ya body golden like the sun and the moon You know that all night long we rock to this Screaming, I testify this lovin' All night long we flock to this Screaming, I testify that we'll survive the test of time They can't deny our love They can't divide us, we'll survive the test of time I swear that I'll be right here Standing next to you Standing in the fire next to you , oh You know it's deeper than the rain It's deeper than the pain When it's deep like DNA Something they can't take away, ayy Take-take-take-take-take-take off Standing next to you Standing next to you Standing next to you Hey standing next to you Whoo! Whoo! Standing next to you"
3,FRI(END)S,V,1,1,5,"1,862,164",https://open.spotify.com/track/0PBTlQ84CBJF0tBnKGmQa6,"ooh You're in my head I had plans for the weekend But wound up with you instead Back here again Got me deep in my feelings When I should be in your bed You and I go back to like '09, it's like forever And you were there my lonely nights, yeah, keeping me together So wouldn't it make sense if I was yours? And you could call me your baby? But we say we're just, say we're just Friends, just for now Yeah, but friends don't say words that Make friends feel like more than just Friends, just for now Now I'm over pretending So let's put the end in friends Friends are not supposed to get too close And feel emotions that we're feeling now, now, now We ain't slowing down, down, down But once we cross the line, there's no denying You and I can never turn around, round, round Know we'll never be the same You and I go back to like '09, it's like forever And you were there my lonely nights, yeah, keeping me together So wouldn't it make sense if I was yours? And you could call me your baby? But we say we're just, say we're just Friends, just for now Yeah, but friends don't say words that Make friends feel like more than just Friends, just for now Now I'm over pretending So let's put the end in friends Friends, just for now Yeah, but friends don't say words that Make friends feel like more than just Friends, just for now Now I'm over pretending So let's put the end in friends ooh"
4,Love Me Again,V,1,5,36,"1,632,169",https://open.spotify.com/track/2N0SPREDYqILVEFSsWF5N5,"You left me. Took those memories with you. But even now, I can't let you go, let you go. Is that all you have to say? One word, that's it? If ever you regret this. Won't you let me know? Let me know? Fine, I will be honest with you. Put it all out there. I think about you all the time. Where you are, who you're with. Lost without you, baby. I wish you would love me again. No, I don't want nobody else. I wish you could love me again, again. I wish you would love me again. No, I don't want nobody else. I wish you could love me again, again. Am I thе only one like this? Are you okay if I'm with somеone else? Let's take it way back, slowly. Make it feel better, yeah, make it forever. Don't say it's okay. Said I'm alright, said I'll be ﬁne. I'm sorry, they're all lies. Please don't leave. Please don't go, so far away. Fine, I will be honest with you. Put it all out there. I think about you all the time. Where you are, who you're with. Lost without you, baby. I wish you would love me again. No, I don't want nobody else. I wish you could love me again, again. I wish you would love me again. No, I don't want nobody else. I wish you could love me again, again. I wish you would love me again.No, I don't want nobody else.I wish you could love me again, again."
5,Nightwalker,TEN,2,4,10,"1,280,779",https://open.spotify.com/track/4RiudH8RehvLLrk8uNgIdR,"Oh, nearing the hour So I been waiting so long Hiding my power After the calm lies the storm Been walking the wire Don't even know just how close I've come to the fire Should better watch it, oh Like waves in the ocean and Sway the emotions, too late Already got me down low, low, low No way to fight it, but you won't let me go Holy story Rising from the shallow Gonna face against the Devil Higher fire Look into the cold blue eyes When the midnight comes Pullin' the strings, beautiful monster Royalty energy, I am yours Playin' my heart, ain't no way I'm pure Bow down and pray to ya Nightwalker Pullin' the strings, beautiful monster Royalty energy, I am yours Playin' my heart, ain't no way I'm pure Bow down and pray Next on the hit list, that's my name Oh, that's the hunter, I'm the prey You make me lose it, go insane And I need prescription for the pain Like waves in the ocean and Yeah, I just let it flow, no time to relieve Holy story Rising from the shallow Gonna face against the Devil Higher fire Rising from the ashes now When the midnight comes Pullin' the strings, beautiful monster Royalty energy, I am yours Playin' my heart, ain't no way I'm pure Bow down and pray to ya It's a nightmare, so persuasive You shouldn't chase it, but I want it I feel my heartbeat get distorted It's a nightmare, I created Like a disease haunting your dreams Bow down and pray to ya Get down on my knees And then the midnight falls Nightwalker Beautiful monster"
6,MONEY,LISA,1,8,136,"1,062,444",https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q,"It's the end of the month and the weekend I'ma spend this check, everything on me, yeah I'ma tip myself, I'ma spend it on myself I'ma drop it like it's pouring, I'ma pour it on myself Check, check, checkㅤ Check that money making bank account number That's that shit that's never getting bounced on ya Bitch, I do the money dance, I just made a hundred bands When the store says Sign for it, I'ma leave my autograph Dollar bills, dollar bills Watch it falling for me, I love the way that feels Dollar bills, dollar bills Keep on falling for me, I love the way it feels I came here to drop some money, dropping all my money Drop some money, all this bread so yummy, yeah Twerking, twerking when I buy the things I like Dollar, dollars dropping on my ass tonight Everyone silent, listen to my money talk Spend how I like it Yeah, everyone know what I mean, mean When they see green, when they see green, that mean go Give me what the hell I want Give me what the hell I want Check that money making bank account number That's that shit that's never getting bounced on ya Bitch, I do the money dance, I just made a hundred bands When the store says Sign for it, I'ma leave my autograph Dollar bills, dollar bills Watch it falling for me, I love the way that feels Dollar bills, dollar bills Keep on falling for me, I love the way it feels I came here to drop some money, dropping all my money Drop some money, all this bread so yummy, yeah Twerking, twerking when I buy the things I like Dollar, dollars, dropping on my ass tonight Drop some money, dropping all my money Drop some money, all this bread so yummy, yeah Drop some money, dropping all my money Drop some money, all this bread so yummy, yeah My money moves, money, I choose Celine, my shoes, walking on you My money rules My money moves, money, I choose Watch how my Wons and Yens and Dollars be dropping on you, you, you Dun, da, la, la, dun-dun, dun, da-la-la, dun-dun Dun, da, la, la, dun-dun, dropping on you Dun, da, la, la, dun-dun, dun, da-la-la, dun-dun Dun, da, la, la, dun-dun, dropping on you"
7,LALISA,LISA,1,11,88,"970,303",https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6,"You know just from looking at my back.
When it gets dark, the light shines pink.
When the bright light wakes me up.
I shake up the world.
What's my name?
I empty my head completely.
And burn the loud emotions.
I'm the champagne that'll quench your thirst at that moment.
Drink me up.
Yes, lift up my body higher.
Want you to ring the alarm.
Tell it to the world, kiss my name.
Say, ""love me, love me"" .
Call me, ""Love me, love me"" .
You know the attitude.
What more do you want?
The loudest in the room.
Say, ""love me, love me"" .
Call me, ""Love me, love me"" .
You know the attitude.
What more do you want?
The loudest in the room.
Baby, get the megaphone, put it on speaker.
I said I can't hear you, so you need to speak up.
Put that shit on stereo, everyone else on very low.
Protect it like a barrier, promise there's nothing scarier.
Than me if anybody coming gunnin' for my man.
Gonna catch a case, gun up in my hand.
Bam, bam, bam! Hit after hit though.
Rocks in my wrist, so I call 'em the Flintstones.
Ring the alarm.
Tell it to the world, kiss my name.
Say, ""love me, love me"" .
Call me, ""Love me, love me"" .
You know the attitude.
What more do you want?
The loudest in the room.
Say, ""love me, love me"" .
Call me, ""Love me, love me"" .
You know the attitude.
What more do you want?
The loudest in the room.
I'm incomparable, you gon' still love me nonetheless.
You gon' still love me.
You need some name.
Remember my name that's standing right in front of you.
Love you some name.
You cannot see me, even though I show you all my ways.
From Thailand to Korea, and now here, went for the throat.
Being the greatest of all time ain't fantasy.
Jet black and pink crown belongs to we.
I am standing above the sky.
They want me.
Catch me if you can.
Say, ""love me, love me"" .
Call me, ""Love me, love me"".
You know the attitude.
What more do you want?
The loudest in the room.
Say, ""love me, love me"".
Call me, ""Love me, love me"".
You know the attitude. What more do you want? The loudest in the room."
8,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",1,7,40,"898,948",https://open.spotify.com/track/2HRgqmZQC0MC7GeNuDIXHN,"Weight of the world on your shoulders I'll kiss your waist and ease your mind I must be favored to know ya I'll take my hands and trace your lines It's the way that you can ride It's the way that you can ride Think I met you in another life So break me off another time You wrap around me and you give me life And that's why night after night I'll be fuckin' you right Monday, Tuesday, Wednesday, Thursday, Friday Saturday, Sunday Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second You know night after night I'll be fuckin' you right, seven days a week You love when I jump right in All of me, I'm offering Show you what devotion is Deeper than the ocean is Wind it back, I'll take it slow Leave you with that afterglow Show you what devotion is Deeper than the ocean is It's the way that you can ride It's the way that you can ride Think I met you in another life So break me off another time You wrap around me and you give me life And that's why night after night I'll be fuckin' you right, oh-oh-oh-oh Monday, Tuesday, Wednesday, Thursday, Friday Saturday, Sunday Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second You know night after night I'll be fuckin' you right, seven days a week Monday, Tuesday, Wednesday, Thursday, Friday Saturday, Sunday Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second You know night after night I'll be fuckin' you right, seven days a week Tightly take control, tightly take his soul Take your phone and put it in the camera roll Leave them clothes at the door Watchu waitin' for? Better come and hit yo' goals Uh, he jump in it, both feet Goin' 'til the sun up, we ain't gettin' no sleep Seven days a week, seven different sheets Seven different angles, I could be your fantasy Open up, say, Ah Come here, baby, let me swallow yo' pride What you on? I can match your vibe Hit me up and I'ma Cha Cha Slide You make Mondays feel like weekends I make him never think 'bout cheatin' Got you skippin' work and meetings Fuck it, let's sleep in, yeah Monday, Tuesday, Wednesday, Thursday, Friday Saturday, Sunday Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second You know night after night I'll be fuckin' you right, seven days a week Monday, Tuesday, Wednesday, Thursday, Friday Saturday, Sunday Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second You know night after night I'll be fuckin' you right, seven days a week"
9,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",2,10,29,"848,355",https://open.spotify.com/track/01qFKNWq73UfEslI0GvumE,"One, two, 3D I can't touch you through the phone Or kiss you through the universe In another time zone It's the only time I can't reverse But when there's two dimensions There's only one I'm missin' And if you feel alone You don't have to feel that no more I just wanna see you like that See you like that, uh-uh So if you're ready And if you'll let me I wanna see it in motion, in 3D You won't regret me Champagne confetti I wanna see it in motion, in 3D 'Cause you know how I like it, girl 3D You know how I likе it, girl 3D Body to body to body to body to body You and me, baby, you know that we got it So don't go gettin' me started 'Cause you know I get hot-hearted Baby, oh, baby, oh, baby, you makin' me crazy Rain, rain, rain, you can't fake it You give me brand-new emotion You got me drinkin' that potion I just wanna see you like that See you like that, uh-uh So if you're ready And if you'll let me I wanna see it in motion, in 3D You won't regret me Champagne confetti I wanna see it in motion, in 3D 'Cause you know how I like it, girl 3D You know how I like it, girl 3D 'Cause you know how I like it, girl 3D You know how I like it, girl 3D I'm on my Jung Kook, take a chick off one look And when they get took, they don't ever get untook When I seen that body, you would think it was a d- The way I told my boys, Come look I used to take girls up to Stony Brook And steal they hearts like some crook, true story Now when I hold somebody's hand, it's a new story All my ABGs get cute for me I had one girl , too boring Two girls , that was cool for me Three girls, damn, dude's horny Four girls, okay, now you I'm loose I done put these- to good use I done put my city on my back And the world know my name, I'm the truth So if you're ready And if you'll let me I wanna see it in motion, in 3D You won't regret me Champagne confetti I wanna see it in motion, in 3D 'Cause you know how I like it, girl 3D You know how I like it, girl 3D 'Cause you know how I like it, girl 3D You know how I like it, girl 3D I got you playin' with yourself on camera You my bae, just like Tampa Speakin' of bucks, I got those And as for-, well, not those And as for thots, well, do you really wanna know? I thought so I'll fly you from Korea to Kentucky And you ain't gotta guarantee me nothin', I just wanna see if I get lucky I just wanna meet you in the physical and see if you would touch me"
10,Magnetic,ILLIT,10,13,4,"821,044",https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG,"Baby
I'm just trying to play it cool
But I just can't hide that
I want you
 
Wait a minute, what is this
My heart going
Just keeps on pounding
Even from afar
Pulling me close my crush
Like a superpower
 
My heart feels like a giant magnet
Everything about you sticks to my heart, boy
We’re magnetized, I admit it
This time I want
 
You, you, you, you like it's magnetic
You, you, you, you, you, you, you, you, super attractive
You, you, you, you like it's magnetic
You, you, you, you, you, you, you, you, super attractive
 
Like it's magnetic
Baby, don't say no
 
Completely opposite, our type
You're J and I'm so P
S and N, polar opposites
But that's what pulls us in
I'll make it a green light
Girls gotta have guts
So, let's go, let's go
Let's go, let's go
 
Don't wanna hide it, the magnet in my heart
Gonna follow my feelings and get with you, boy
We're magnetized, I admit it
This time I want
 
You, you, you, you like it's magnetic
You, you, you, you, you, you, you, you, super attractive
You, you, you, you like it's magnetic
You, you, you, you, you, you, you, you, super attractive
 
No push and pull
Gonna run to you (In a rush, in a rush)
Our chemistry
I'm in too deep now (Baby, you're my crush, you're my crush)
No push and pull
No regrets, gonna zero in on you (Gonna dash, gonna dash)
Never holding back
Straight ahead, yeah
This time, I want
 
You, you, you, you like it's magnetic
You, you, you, you, you, you, you, you, super attractive
You, you, you, you like it's magnetic
You, you, you, you, you, you, you, you, super attractive
 
Like it's magnetic
Baby, don't say no
"
